time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,Richter Scale,year,Depth Scale,cluster
1919-05-27 10:34:27.130000+00:00,37.378,35.801,15.0,5.71,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem912799,2022-04-25T23:51:55.749Z,"8 km S of Kozan, Turkey",earthquake,4.311959213401311,9.1,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.378, 35.801)","Çolak Hasan, Işıklı Mahallesi, Kozan, Adana, Akdeniz Bölgesi, 01502, Türkiye",Adana,Moderate,1919,Shallow,1
1928-08-23 06:16:06.770000+00:00,37.402,35.62,15.0,5.31,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup908848,2022-05-09T17:41:00.639Z,"15 km NNW of ?mamo?lu, Turkey",earthquake,4.311959213401311,4.1,0.2,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(37.402, 35.62)","Kozan, Adana, Akdeniz Bölgesi, Türkiye",Adana,Moderate,1928,Shallow,1
1945-03-20 07:58:52.300000+00:00,37.244,35.859,15.0,6.06,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem898851,2022-04-26T19:00:02.963Z,"18 km E of ?mamo?lu, Turkey",earthquake,4.311959213401311,9.6,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.244, 35.859)","Ceyhan, Adana, Akdeniz Bölgesi, Türkiye",Adana,Strong,1945,Shallow,1
1952-10-22 17:00:41.860000+00:00,36.841,35.496,15.0,5.66,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem893586,2022-04-26T18:08:31.686Z,"22 km SE of Adana, Turkey",earthquake,4.311959213401311,8.9,0.24,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(36.841, 35.496)","Esenler, Adana, Akdeniz Bölgesi, Türkiye",Adana,Moderate,1952,Shallow,1
1971-07-11 20:12:56.870000+00:00,37.181,36.778,10.0,5.79,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem782114,2022-04-26T21:10:19.227Z,"3 km ENE of Nurda??, Turkey",earthquake,4.311959213401311,6.2,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.181, 36.778)","Adana-Şanlıurfa Otoyolu, Nurdağı, Gaziantep, Güneydoğu Anadolu Bölgesi, 27840, Türkiye",Adana,Moderate,1971,Shallow,1
1976-07-30 07:23:24.900000+00:00,36.767,35.893,41.0,4.2,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000hmq,2014-11-06T23:21:36.439Z,"29 km SSE of Ceyhan, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(36.767, 35.893)","Adana, Akdeniz Bölgesi, Türkiye",Adana,Light,1976,Shallow,0
1979-02-07 05:11:43.100000+00:00,38.359,36.322,10.0,4.0,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000yr3,2014-11-06T23:21:56.744Z,"13 km NE of Tufanbeyli, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(38.359, 36.322)","İncedere Sırtı, Tufanbeyli, Adana, Akdeniz Bölgesi, Türkiye",Adana,Light,1979,Shallow,1
1979-12-28 03:09:07.300000+00:00,37.47,35.847,41.0,5.1,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp00014rc,2022-04-27T14:46:36.965Z,"3 km ENE of Kozan, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(37.47, 35.847)","Ağlıboğaz, Kozan, Adana, Akdeniz Bölgesi, 01500, Türkiye",Adana,Moderate,1979,Shallow,0
1980-05-19 15:50:31.700000+00:00,37.693,36.101,33.0,4.2,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp00017au,2014-11-06T23:24:21.932Z,"21 km SE of Feke, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(37.693, 36.101)","Göller Yaylası, Kozan, Adana, Akdeniz Bölgesi, Türkiye",Adana,Light,1980,Shallow,0
1985-12-21 05:05:35.770000+00:00,37.604,35.501,33.0,4.6,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.2,us,usp0002p50,2014-11-07T00:37:39.049Z,"11 km ENE of Alada?, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,18.0,reviewed,us,us, Turkey,"(37.604, 35.501)","Karahan, Adana, Akdeniz Bölgesi, Türkiye",Adana,Light,1985,Shallow,0
